α M log_fpbh
1.712729924277805 5.944655497040519 -2.625155539177024
1.7490758865228848 6.828083184916469 -2.653188056697299
1.8209825351771212 5.695683096283496 -2.5741419801923726
1.717942745464251 6.524709676173884 -2.6469687789965244
2.119251068989116 6.262422725650692 -2.597577773481942
1.7107943960110874 6.525557485127609 -2.6578825872603
1.8236134849892576 6.176841790557155 -2.721465419700795
1.8009775527453604 5.828524389404963 -2.583219552956173
1.7285762087143068 6.77936437743182 -2.6593933686699636
1.785781216370714 5.5553346123877 -2.641345688741014
1.8814810580831836 5.7145120133300225 -2.656364176487745
1.8684259145102586 5.6732930160234725 -2.5676790396336164
1.722874252419087 6.527723286617631 -2.7085853306095853
2.018222699981489 6.023289501051064 -2.5681266666542197
1.7333939902808018 6.489907872778214 -2.7192368583110857
1.9498546494079163 5.744120414068622 -2.618657807807046
1.7863058290071954 6.841971598802513 -2.7127283307201386
1.7145225357267995 6.525947799996869 -2.6551299420165266
1.8859394401221787 5.8103280045529395 -2.66413250090913
1.6905830578352947 6.23033455033573 -2.6794421378829023
1.8540134846196468 5.555501249695773 -2.6222925666290937
1.9488079145575476 6.054465133339921 -2.680597512344997
1.80493815298281 5.504516127487165 -2.6038076705229725
1.793585004240059 5.99876769066198 -2.704981876301381
1.7744261566160562 5.547909959881524 -2.6253334682837517
2.074830047521317 6.345851572864502 -2.665609338287126
1.7004414196959385 6.176574991250735 -2.646671274491321
1.7776081882501125 5.666761921297208 -2.6641933813181193
1.7434250550932675 5.599646657215329 -2.614721441770213
2.0956148805454675 6.286667771796743 -2.6338536192355484
1.7952330430429106 5.618666033128619 -2.6565610508565296
1.916012570865386 5.644125393008085 -2.5804789389627256
1.7332289223338417 6.693038099045017 -2.6413464175080223
1.8957564183885403 6.625514995835969 -2.7349600747671894
1.9499917890946339 5.803067505404281 -2.589098733164743
2.0521706119460994 6.134041724643721 -2.6103987271026035
2.1638233557892628 6.80097587301732 -2.6428025131732844
1.7305090367216978 6.763715336687428 -2.655091499656484
1.9639427651023316 6.416289121022426 -2.715604552942445
1.7323075521120865 5.797201903205732 -2.6463129610152407
2.1207667292402075 6.330546135487177 -2.5788431079555245
1.9471965110842708 5.787398992240554 -2.613483002122367
2.1713372008270055 6.723644723254624 -2.559747444949488
1.911633584799913 6.295527849991885 -2.556548570241083
1.9098183352403038 6.387813915215348 -2.727332514404156
1.7878659675820776 5.751354630799465 -2.5918242578670228
1.7324974983696348 6.626553715318405 -2.6727459053186764
1.713288148380775 6.667409714482556 -2.6676087322842954
1.8294340297429508 6.305930330074844 -2.7306911345318703
2.020262912735873 6.500988896552048 -2.69950943803933
1.9620070246202135 6.026810612302472 -2.5614474470894266
1.828714628091941 6.742371402380954 -2.586948517866098
2.117632992818937 6.849159870397242 -2.591090735461727
2.0368821969525444 6.127963713320543 -2.628640168649061
1.7406268716214814 5.778249074150764 -2.655540558842623
1.8449633264770444 5.685950258352456 -2.6538872677284933
1.8351920556502324 5.577547794956937 -2.6034255535609643
1.7082574448478731 6.090059085213816 -2.669209272764273
1.745437680276829 6.752340801574965 -2.6347042112928176
1.7179871834469478 6.05513257629466 -2.632406591515781
1.7997607914979077 5.677911258077212 -2.658211265575557
2.1148443803991412 6.610057168180637 -2.5748037568461477
2.1274161928865674 6.763705360480082 -2.6767675964063504
1.710033834506873 6.062841595773193 -2.674319220771129
2.1258624372141837 6.376034633396563 -2.597830058933094
2.09408911606788 6.660487189925466 -2.552469595833603
1.8371254407469093 5.609495507014778 -2.5864727444978115
1.858496960975727 5.664229827327239 -2.58142190431694
